【74V10】高等学校学習指導要領（平成21年告示）コード表　Ver 1.0,,,
教科等,No,学習指導要領テキスト,学習指導要領コード
総則,1,第１章　総　　　則,7400000000000000
総則,2,第１款　教育課程編成の一般方針,7400000100000000
総則,3,"１　各学校においては，教育基本法及び学校教育法その他の法令並びにこの章以下に示すところに従い，生徒の人間として調和のとれた育成を目指し，地域や学校の実態，課程や学科の特色，生徒の心身の発達の段階及び特性等を十分考慮して，適切な教育課程を編成するものとし，これらに掲げる目標を達成するよう教育を行うものとする。
　学校の教育活動を進めるに当たっては，各学校において，生徒に生きる力をはぐくむことを目指し，創意工夫を生かした特色ある教育活動を展開する中で，基礎的・基本的な知識及び技能を確実に習得させ，これらを活用して課題を解決するために必要な思考力，判断力，表現力その他の能力をはぐくむとともに，主体的に学習に取り組む態度を養い，個性を生かす教育の充実に努めなければならない。その際，生徒の発達の段階を考慮して，生徒の言語活動を充実するとともに，家庭との連携を図りながら，生徒の学習習慣が確立するよう配慮しなければならない。",7400000110000000
総則,4,"２　学校における道徳教育は，生徒が自己探求と自己実現に努め国家・社会の一員としての自覚に基づき行為しうる発達の段階にあることを考慮し人間としての在り方生き方に関する教育を学校の教育活動全体を通じて行うことにより，その充実を図るものとし，各教科に属する科目，総合的な学習の時間及び特別活動のそれぞれの特質に応じて，適切な指導を行わなければならない。
　道徳教育は，教育基本法及び学校教育法に定められた教育の根本精神に基づき，人間尊重の精神と生命に対する畏《い》敬の念を家庭，学校，その他社会における具体的な生活の中に生かし，豊かな心をもち，伝統と文化を尊重し，それらをはぐくんできた我が国と郷土を愛し，個性豊かな文化の創造を図るとともに，公共の精神を尊び，民主的な社会及び国家の発展に努め，他国を尊重し，国際社会の平和と発展や環境の保全に貢献し未来を拓《ひら》く主体性のある日本人を育成するため，その基盤としての道徳性を養うことを目標とする。
　道徳教育を進めるに当たっては，特に，道徳的実践力を高めるとともに，自他の生命を尊重する精神，自律の精神及び社会連帯の精神並びに義務を果たし責任を重んずる態度及び人権を尊重し差別のないよりよい社会を実現しようとする態度を養うための指導が適切に行われるよう配慮しなければならない。",7400000120000000
総則,5,３　学校における体育・健康に関する指導は，生徒の発達の段階を考慮して，学校の教育活動全体を通じて適切に行うものとする。特に，学校における食育の推進並びに体力の向上に関する指導，安全に関する指導及び心身の健康の保持増進に関する指導については，保健体育科はもとより，家庭科，特別活動などにおいてもそれぞれの特質に応じて適切に行うよう努めることとする。また，それらの指導を通して，家庭や地域社会との連携を図りながら，日常生活において適切な体育･健康に関する活動の実践を促し，生涯を通じて健康･安全で活力ある生活を送るための基礎が培われるよう配慮しなければならない。,7400000130000000
総則,6,４　学校においては，地域や学校の実態等に応じて，就業やボランティアにかかわる体験的な学習の指導を適切に行うようにし，勤労の尊さや創造することの喜びを体得させ，望ましい勤労観，職業観の育成や社会奉仕の精神の涵《かん》養に資するものとする。,7400000140000000
総則,7,第２款　各教科・科目及び単位数等,7400000200000000
総則,8,"１　卒業までに履修させる単位数等
　各学校においては，卒業までに履修させる下記２から５までに示す各教科に属する科目及びその単位数，総合的な学習の時間の単位数並びに特別活動及びその授業時数に関する事項を定めるものとする。この場合，各教科に属する科目（以下「各教科・科目」という。）及び総合的な学習の時間の単位数の計は，第３款の１，２及び３の(1)に掲げる各教科・科目の単位数並びに総合的な学習の時間の単位数を含めて74単位以上とする。
　単位については，１単位時間を50分とし，35単位時間の授業を１単位として計算することを標準とする。ただし，通信制の課程においては，第７款の定めるところによるものとする。",7400000210000000
総則,9,"２　各学科に共通する各教科・科目及び総合的な学習の時間並びに標準単位数
　各学校においては，教育課程の編成に当たって，次の表に掲げる各教科・科目及び総合的な学習の時間並びにそれぞれの標準単位数を踏まえ，生徒に履修させる各教科・科目及び総合的な学習の時間並びにそれらの単位数について適切に定めるものとする。ただし，生徒の実態等を考慮し，特に必要がある場合には，標準単位数の標準の限度を超えて単位数を増加して配当することができる。",7400000220000000
総則,10,"【摘要】教科等（科目：標準単位数）
国語（国語総合：４,国語表現：３,現代文Ａ：２,現代文Ｂ：４,古典Ａ：２,古典Ｂ：４）
地理歴史（世界史Ａ：２,世界史Ｂ：４,日本史Ａ：２,日本史Ｂ：４,地理Ａ：２,地理Ｂ：４）
公民（現代社会：２,倫理：２,政治・経済：２）
数学（数学Ⅰ：３,数学Ⅱ：４,数学Ⅲ：５,数学Ａ：２,数学Ｂ：２,数学Ｃ：２）
理科（科学と人間生活：２,物理基礎：２,物理：４,化学基礎：２,化学：４,生物基礎：２,生物：４,地学基礎：２,地学：４,理科課題研究：１）
保健体育（体育：７～８,保健：２）
芸術（音楽Ⅰ：２,音楽Ⅱ：２,音楽Ⅲ：２,美術Ⅰ：２,美術Ⅱ：２,美術Ⅲ：２,工芸Ⅰ：２,工芸Ⅱ：２,工芸Ⅲ：２,書道Ⅰ：２,書道Ⅱ：２,書道Ⅲ：２）
外国語（コミュニケーション英語基礎：２,コミュニケーション英語Ⅰ：３,コミュニケーション英語Ⅱ：４,コミュニケーション英語Ⅲ：４,英語表現Ⅰ：２,英語表現Ⅱ：４,英語会話：２）
家庭（家庭基礎：２,家庭総合：４,生活デザイン：４）
情報（社会と情報：２,情報の科学：２）
総合的な学習の時間（　：３～６）",7400000221000000
