【75V11】特別支援学校幼稚部教育要領（平成21年告示）コード表　Ver 1.1,,,
教科等,No,教育要領テキスト,教育要領コード
総則,1,第１章　総則,7500000000000000
総則,2,第１　幼稚部における教育の基本,7500000100000000
総則,3,幼児期における教育は， 生涯にわたる人格形成の基礎を培う重要なものであり， 幼稚部における教育は， 学校教育法第72条に規定する目的を達成するため， 幼児期の特性を踏まえ， 環境を通して行うものであることを基本とする。このため， 教師は幼児との信頼関係を十分に築き， 幼児と共によりよい教育環境を創造するように努めるものとする。 これらを踏まえ， 次に示す事項を重視して教育を行わなければならない。,7500000110000000
総則,4,１   幼児は安定した情緒の下で自己を十分に発揮することにより発達に必要な体験を得ていくものであることを考慮して， 幼児の主体的な活動を促し， 幼児期にふさわしい生活が展開されるようにすること。,7500000111000000
総則,5,２   幼児の自発的な活動としての遊びは， 心身の調和のとれた発達の基礎を培う重要な学習であることを考慮して， 遊びを通しての指導を中心として第２章に示すねらいが総合的に達成されるようにすること。,7500000112000000
総則,6,３   幼児の発達は， 心身の諸側面が相互に関連し合い， 多様な経過をたどって成し遂げられていくものであること， また， 幼児の生活経験がそれぞれ異なることなどを考慮して， 幼児一人一人の特性に応じ， 発達の課題に即した指導を行うようにすること。,7500000113000000
総則,7,その際， 教師は， 幼児の主体的な活動が確保されるよ う幼児一人一人の行動の理解と予想に基づき， 計画的に環境を構成しなければならない。 この場合において， 教師は， 幼児と人やものとのかかわりが重要であることを踏まえ， 物的・空間的環境を構成しなければならない。 また， 教師は，幼児一人一人の活動の場面に応じて，様々な役割を果たし， その活動を豊かにしなければならない。,7500000120000000
総則,8,第２　幼稚部における教育の目標,7500000200000000
総則,9,幼稚部では， 家庭との連携を図りながら， 幼児の障害の状態や発達の程度を考慮し，  この章の第１に示す幼稚部における教育の基本に基づいて展開される学校生活を通して， 生きる力の基礎を育成するよう次の目標の達成に努めなければならない。,7500000210000000
総則,10,１   学校教育法第23条に規定する幼稚園教育の目標,7500000211000000
総則,11,２   障害による学習上又は生活上の困難を改善・克服し自立を図るために必要な態度や習慣などを育て，心身の調和的発達の基盤を培うようにすること。,7500000212000000
総則,12,第３　教育課程の編成,7500000300000000
総則,13,幼稚部では，  この章の第２に示す幼稚部における教育の目標の達成に努めることにより， 義務教育及びその後の教育の基礎を培うものとする。 このことを踏まえ， 各学校においては， 教育基本法及び学校教育法その他の法令並びにこの特別支援学校幼稚部教育要領の示すところに従い， 創意工夫を生かし， 幼児の障害の状態や発達の程度及び学校や地域の実態に即応した適切な教育課程を編成するものとする。,7500000310000000
総則,14,１   幼稚部における生活の全体を通して第２章に示すねらいが総合的に達成されるよう， 教育課程に係る教育期間や幼児の生活経験や発達の過程などを考慮して具体的なねらいと内容を組織しなければならないこと。 この場合においては， 特に，  自我が芽生え， 他者の存在を意識し，自己を抑制しようとする気持ちが生まれる幼児期の発達の特性を踏まえ， 入学から幼稚部修了に至るまでの長期的な視野をもって充実した生活が展開できるように配慮しなければならないこと。,7500000311000000
総則,15,２   幼稚部の毎学年の教育課程に係る教育週数は， 39週を標準とし， 幼児の障害の状態等を考慮して適切に定めること。,7500000312000000
総則,16,３   幼稚部の１日の教育課程に係る教育時間は，  ４時間を標準とすること。ただし，幼児の障害の状態や発達の程度， 季節等に適切に配慮すること。,7500000313000000
ねらい及び内容等,17,第２章　ねらい及び内容等,75l0000000000000
ねらい及び内容等,18,"この章に示すねらいは，幼稚部修了までに育つことが期待される生きる力の基礎となる心情，意欲， 態度などであり， 内容は， ねらいを達成するために指導する事項である。 これらを幼児の発達の側面から，心身の健康に関する領域「健康」，人とのかかわりに関する領域「人間関係」，身近な環境とのかかわりに関する領域 「環境」， 言葉の獲得に関する領域 「言葉」 及び感性と表現に関する領域「表現」 として，また，幼児の障害に対応する側面から，その障害による学習上又は生活上の困難の改善・克服に関する領域「自立活動」 としてまとめ，示したものである。
各領域に示すねらいは， 幼稚部における生活の全体を通じ， 幼児が様々な体験を積み重ねる中で相互に関連をもちながら次第に達成に向かうものであること， 内容は， 幼児が環境にかかわって展開する具体的な活動を通して総合的に指導されるものであることに留意しなければならない。 ただし，  自立活動については， 個々の幼児の障害の状態や発達の程度等に応じて， 他の各領域に示す内容との緊密な関連を図りながら，  自立活動の内容に重点を置いた指導を行うことについて配慮する必要がある。
なお， 特に必要な場合には， 各領域に示すねらいの趣旨に基づいて適切な， 具体的な内容を工夫し， それを加えても差し支えないが， その場合には， それが第１章の第１に示す幼稚部における教育の基本を逸脱しないよう慎重に配慮する必要がある。",75l0000100000000
ねらい及び内容等,19,"健康，人間関係，環境，言葉及び表現
ねらい， 内容及び内容の取扱いについては， 幼稚園教育要領第２章に示すものに準ずるものとするが， 指導に当たっては， 幼児の障害の状態等に十分配慮するものとする。",75l1000000000000
ねらい及び内容等,20,自立活動,75l2000000000000
