【7BV11】特別支援学校高等部学習指導要領（平成21年告示）コード表　Ver 1.1,,,
教科等,No,学習指導要領テキスト,学習指導要領コード
総則,1,第１章　総則,7B00000000000000
総則,2,"第１節　教育目標
高等部における教育については，学校教育法第72条に定める目的を実現するために，生徒の障害の状態及び特性等を十分考慮して， 次に掲げる目標の達成に努めなければならない。",7B00000100000000
総則,3,１   学校教育法第51条に規定する高等学校教育の目標,7B00000110000000
総則,4,２   生徒の障害による学習上又は生活上の困難を改善・克服し自立を図るために必要な知識， 技能，態度及び習慣を養うこと。,7B00000120000000
総則,5,第２節　教育課程の編成,7B00000200000000
総則,6,第１款　一般方針,7B00000210000000
総則,7,"１   各学校においては， 教育基本法及び学校教育法その他の法令並びにこの章以下に示すところに従い， 生徒の人間として調和のとれた育成を目指し， その障害の状態， 発達の段階及び特性等，地域や学校の実態並びに学科の特色を十分考慮して，適切な教育課程を編成するものとし，これらに掲げる目標を達成するよう教育を行うものとする。
学校の教育活動を進めるに当たっては， 各学校において， 生徒に生きる力をはぐくむことを目指し， 創意工夫を生かした特色ある教育活動を展開する中で， 基礎的・基本的な知識及び技能を確実に習得させ，  これらを活用して課題を解決するために必要な思考力， 判断力， 表現力その他の能力をはぐくむとともに， 主体的に学習に取り組む態度を養い， 個性を生かす教育の充実に努めなければならない。 その際， 生徒の発達の段階を考慮して， 生徒の言語活動を充実するとともに，家庭との連携を図りながら，生徒の学習習慣が確立するよう配慮しなければならない。",7B00000211000000
総則,8,"２   学校における道徳教育は， 生徒が自己探求と自己実現に努め国家・社会の一員としての自覚に基づき行為しうる発達の段階にあることを考慮し人間としての在り方生き方に関する教育を学校の教育活動全体を通じて行うことにより， その充実を図るものとし， 視覚障害者， 聴覚障害者， 肢体不自由者又は病弱者である生徒に対する教育を行う特別支援学校においては， 各教科に属する科目， 総合的な学習の時間， 特別活動及び自立活動において， また， 知的障害者である生徒に対する教育を行う特別支援学校においては， 道徳の時間をはじめとして， 各教科，総合的な学習の時間， 特別活動及び自立活動において， それぞれの特質に応じて， 適切な指導を行わなければならない。
道徳教育は，教育基本法及び学校教育法に定められた教育の根本精神に基づき，人間尊重の精神と生命に対する畏敬の念を家庭， 学校， その他社会における具体的な生活の中に生かし，豊かな心をもち，伝統と文化を尊重し，それらをはぐくんできた我が国と郷土を愛し，個性豊かな文化の創造を図るとともに， 公共の精神を尊び， 民主的な社会及び国家の発展に努め， 他国を尊重し， 国際社会の平和と発展や環境の保全に貢献し未来を拓く主体性のある日本人を育成するため， その基盤としての道徳性を養うことを目標とする。
道徳教育を進めるに当たっては，特に，道徳的実践力を高めるとともに，  自他の生命を尊重する精神，  自律の精神及び社会連帯の精神並びに義務を果たし責任を重んずる態度及び人権を尊重し差別のないよりよい社会を実現しようとする態度を養うための指導が適切に行われるよう配慮しなければならない。",7B00000212000000
総則,9,３   学校における体育・健康に関する指導は，生徒の発達の段階を考慮して，学校の教育活動全体を通じて適切に行うものとする。 特に， 学校における食育の推進並びに体力の向上に関する指導， 安全に関する指導及び心身の健康の保持増進に関する指導については， 保健体育科の時間はもとより， 家庭科， 特別活動，  自立活動などにおいてもそれぞれの特質に応じて適切に行うよう努めることとする。 また， それらの指導を通して， 家庭や地域社会との連携を図りながら，  日常生活において適切な体育・健康に関する活動の実践を促し，生涯を通じて健康・安全で活力ある生活を送るための基礎が培われるよう配慮しなければならない。,7B00000213000000
総則,10,４   学校における自立活動の指導は， 障害による学習上又は生活上の困難を改善・克服し，  自立し社会参加する資質を養うため， 学校の教育活動全体を通じて適切に行うものとする。 特に，自立活動の時間における指導は， 各教科に属する科目， 総合的な学習の時間及び特別活動 （知的障害者である生徒に対する教育を行う特別支援学校においては， 各教科， 道徳， 総合的な学習の時間及び特別活動） と密接な関連を保ち， 個々の生徒の障害の状態や発達の段階等を的確に把握して， 適切な指導計画の下に行うよう配慮しなければならない。,7B00000214000000
