【71V11】幼稚園教育要領（平成20年告示）コード表　Ver 1.1,,,
教科等,No,教育要領テキスト,教育要領コード
総則,1,第１章　総　　則,7100000000000000
総則,2,第１　幼稚園教育の基本,7100000100000000
総則,3,"　幼児期における教育は，生涯にわたる人格形成の基礎を培う重要なものであり，幼稚園教育は，学校教育法第22条に規定する目的を達成するため，幼児期の特性を踏まえ，環境を通して行うものであることを基本とする。
　このため，教師は幼児との信頼関係を十分に築き，幼児と共によりよい教育環境を創造するように努めるものとする。これらを踏まえ，次に示す事項を重視して教育を行わなければならない。",7100000110000000
総則,4,１　幼児は安定した情緒の下で自己を十分に発揮することにより発達に必要な体験を得ていくものであることを考慮して，幼児の主体的な活動を促し，幼児期にふさわしい生活が展開されるようにすること。,7100000111000000
総則,5,２　幼児の自発的な活動としての遊びは，心身の調和のとれた発達の基礎を培う重要な学習であることを考慮して，遊びを通しての指導を中心として第２章に示すねらいが総合的に達成されるようにすること。,7100000112000000
総則,6,３　幼児の発達は，心身の諸側面が相互に関連し合い，多様な経過をたどって成し遂げられていくものであること，また，幼児の生活経験がそれぞれ異なることなどを考慮して，幼児一人一人の特性に応じ，発達の課題に即した指導を行うようにすること。,7100000113000000
総則,7,　その際，教師は，幼児の主体的な活動が確保されるよう幼児一人一人の行動の理解と予想に基づき，計画的に環境を構成しなければならない。この場合において，教師は，幼児と人やものとのかかわりが重要であることを踏まえ，物的・空間的環境を構成しなければならない。また，教師は，幼児一人一人の活動の場面に応じて，様々な役割を果たし，その活動を豊かにしなければならない。,7100000120000000
総則,8,第２　教育課程の編成,7100000200000000
総則,9,"　幼稚園は，家庭との連携を図りながら，この章の第１に示す幼稚園教育の基本に基づいて展開される幼稚園生活を通して，生きる力の基礎を育成するよう学校教育法第23条に規定する幼稚園教育の目標の達成に努めなければならない。幼稚園は，このことにより，義務教育及びその後の教育の基礎を培うものとする。
　これらを踏まえ，各幼稚園においては，教育基本法及び学校教育法その他の法令並びにこの幼稚園教育要領の示すところに従い，創意工夫を生かし，幼児の心身の発達と幼稚園及び地域の実態に即応した適切な教育課程を編成するものとする。",7100000210000000
総則,10,１　幼稚園生活の全体を通して第２章に示すねらいが総合的に達成されるよう，教育課程に係る教育期間や幼児の生活経験や発達の過程などを考慮して具体的なねらいと内容を組織しなければならないこと。この場合においては，特に，自我が芽生え，他者の存在を意識し，自己を抑制しようとする気持ちが生まれる幼児期の発達の特性を踏まえ，入園から修了に至るまでの長期的な視野をもって充実した生活が展開できるように配慮しなければならないこと。,7100000211000000
総則,11,２　幼稚園の毎学年の教育課程に係る教育週数は，特別の事情のある場合を除き，39週を下ってはならないこと。,7100000212000000
総則,12,３　幼稚園の１日の教育課程に係る教育時間は，４時間を標準とすること。ただし，幼児の心身の発達の程度や季節などに適切に配慮すること。,7100000213000000
総則,13,第３　教育課程に係る教育時間の終了後等に行う教育活動など,7100000300000000
総則,14,　幼稚園は，地域の実態や保護者の要請により教育課程に係る教育時間の終了後等に希望する者を対象に行う教育活動について，学校教育法第22条及び第23条並びにこの章の第１に示す幼稚園教育の基本を踏まえ実施すること。また，幼稚園の目的の達成に資するため，幼児の生活全体が豊かなものとなるよう家庭や地域における幼児期の教育の支援に努めること。,7100000310000000
ねらい及び内容,15,第２章　ねらい及び内容,71l0000000000000
ねらい及び内容,16,"　この章に示すねらいは，幼稚園修了までに育つことが期待される生きる力の基礎となる心情，意欲，態度などであり，内容は，ねらいを達成するために指導する事項である。これらを幼児の発達の側面から，心身の健康に関する領域「健康」，人とのかかわりに関する領域「人間関係」，身近な環境とのかかわりに関する領域「環境」，言葉の獲得に関する領域「言葉」及び感性と表現に関する領域「表現」としてまとめ，示したものである。
　各領域に示すねらいは，幼稚園における生活の全体を通じ，幼児が様々な体験を積み重ねる中で相互に関連をもちながら次第に達成に向かうものであること，内容は，幼児が環境にかかわって展開する具体的な活動を通して総合的に指導されるものであることに留意しなければならない。
　なお，特に必要な場合には，各領域に示すねらいの趣旨に基づいて適切な，具体的な内容を工夫し，それを加えても差し支えないが，その場合には，それが第１章の第１に示す幼稚園教育の基本を逸脱しないよう慎重に配慮する必要がある。",71l0000100000000
ねらい及び内容,17,"健　康
〔健康な心と体を育て，自ら健康で安全な生活をつくり出す力を養う。〕",71l1000000000000
ねらい及び内容,19,１　ねらい,71l1001000000000
ねらい及び内容,20,(1) 明るく伸び伸びと行動し，充実感を味わう。,71l1001100000000
ねらい及び内容,21,(2) 自分の体を十分に動かし，進んで運動しようとする。,71l1001200000000
ねらい及び内容,22,(3) 健康，安全な生活に必要な習慣や態度を身に付ける。,71l1001300000000
ねらい及び内容,23,２　内　容,71l1003000000000
ねらい及び内容,24,(1) 先生や友達と触れ合い，安定感をもって行動する。,71l1003100000000
ねらい及び内容,25,(2) いろいろな遊びの中で十分に体を動かす。,71l1003200000000
ねらい及び内容,26,(3) 進んで戸外で遊ぶ。,71l1003300000000
ねらい及び内容,27,(4) 様々な活動に親しみ，楽しんで取り組む。,71l1003400000000
ねらい及び内容,28,(5) 先生や友達と食べることを楽しむ。,71l1003500000000
ねらい及び内容,29,(6) 健康な生活のリズムを身に付ける。,71l1003600000000
ねらい及び内容,30,(7) 身の回りを清潔にし，衣服の着脱，食事，排泄などの生活に必要な活動を自分でする。,71l1003700000000
ねらい及び内容,31,(8) 幼稚園における生活の仕方を知り，自分たちで生活の場を整えながら見通しをもって行動する。,71l1003800000000
ねらい及び内容,32,(9) 自分の健康に関心をもち，病気の予防などに必要な活動を進んで行う。,71l1003900000000
ねらい及び内容,33,(10) 危険な場所，危険な遊び方，災害時などの行動の仕方が分かり，安全に気を付けて行動する。,71l1003A00000000
ねらい及び内容,34,"３　内容の取扱い
上記の取扱いに当たっては，次の事項に留意する必要がある。",71l1005000000000
ねらい及び内容,36,(1) 心と体の健康は，相互に密接な関連があるものであることを踏まえ，幼児が教師や他の幼児との温かい触れ合いの中で自己の存在感や充実感を味わうことなどを基盤として，しなやかな心と体の発達を促すこと。特に，十分に体を動かす気持ちよさを体験し，自ら体を動かそうとする意欲が育つようにすること。,71l1005100000000
ねらい及び内容,37,(2) 様々な遊びの中で，幼児が興味や関心，能力に応じて全身を使って活動することにより，体を動かす楽しさを味わい，安全についての構えを身に付け，自分の体を大切にしようとする気持ちが育つようにすること。,71l1005200000000
ねらい及び内容,38,(3) 自然の中で伸び伸びと体を動かして遊ぶことにより，体の諸機能の発達が促されることに留意し，幼児の興味や関心が戸外にも向くようにすること。その際，幼児の動線に配慮した園庭や遊具の配置などを工夫すること。,71l1005300000000
ねらい及び内容,39,(4) 健康な心と体を育てるためには食育を通じた望ましい食習慣の形成が大切であることを踏まえ，幼児の食生活の実情に配慮し，和やかな雰囲気の中で教師や他の幼児と食べる喜びや楽しさを味わったり，様々な食べ物への興味や関心をもったりするなどし，進んで食べようとする気持ちが育つようにすること。,71l1005400000000
ねらい及び内容,40,(5) 基本的な生活習慣の形成に当たっては，家庭での生活経験に配慮し，幼児の自立心を育て，幼児が他の幼児とかかわりながら主体的な活動を展開する中で，生活に必要な習慣を身に付けるようにすること。,71l1005500000000
ねらい及び内容,41,"人間関係
〔他の人々と親しみ，支え合って生活するために，自立心を育て，人とかかわる力を養う。〕",71l2000000000000
ねらい及び内容,43,１　ねらい,71l2001000000000
ねらい及び内容,44,(1) 幼稚園生活を楽しみ，自分の力で行動することの充実感を味わう。,71l2001100000000
ねらい及び内容,45,(2) 身近な人と親しみ，かかわりを深め，愛情や信頼感をもつ。,71l2001200000000
ねらい及び内容,46,(3) 社会生活における望ましい習慣や態度を身に付ける。,71l2001300000000
ねらい及び内容,47,２　内　容,71l2003000000000
ねらい及び内容,48,(1) 先生や友達と共に過ごすことの喜びを味わう。,71l2003100000000
ねらい及び内容,49,(2) 自分で考え，自分で行動する。,71l2003200000000
ねらい及び内容,50,(3) 自分でできることは自分でする。,71l2003300000000
ねらい及び内容,51,(4) いろいろな遊びを楽しみながら物事をやり遂げようとする気持ちをもつ。,71l2003400000000
ねらい及び内容,52,(5) 友達と積極的にかかわりながら喜びや悲しみを共感し合う。,71l2003500000000
ねらい及び内容,53,(6) 自分の思ったことを相手に伝え，相手の思っていることに気付く。,71l2003600000000
ねらい及び内容,54,(7) 友達のよさに気付き，一緒に活動する楽しさを味わう。,71l2003700000000
ねらい及び内容,55,(8) 友達と楽しく活動する中で，共通の目的を見いだし，工夫したり，協力したりなどする。,71l2003800000000
ねらい及び内容,56,(9) よいことや悪いことがあることに気付き，考えながら行動する。,71l2003900000000
ねらい及び内容,57,(10) 友達とのかかわりを深め，思いやりをもつ。,71l2003A00000000
ねらい及び内容,58,(11) 友達と楽しく生活する中できまりの大切さに気付き，守ろうとする。,71l2003B00000000
ねらい及び内容,59,(12) 共同の遊具や用具を大切にし，みんなで使う。,71l2003C00000000
ねらい及び内容,60,(13) 高齢者をはじめ地域の人々などの自分の生活に関係の深いいろいろな人に親しみをもつ。,71l2003D00000000
ねらい及び内容,61,"３　内容の取扱い
上記の取扱いに当たっては，次の事項に留意する必要がある。",71l2005000000000
ねらい及び内容,63,(1) 教師との信頼関係に支えられて自分自身の生活を確立していくことが人とかかわる基盤となることを考慮し，幼児が自ら周囲に働き掛けることにより多様な感情を体験し，試行錯誤しながら自分の力で行うことの充実感を味わうことができるよう，幼児の行動を見守りながら適切な援助を行うようにすること。,71l2005100000000
ねらい及び内容,64,(2) 幼児の主体的な活動は，他の幼児とのかかわりの中で深まり，豊かになるものであり，幼児はその中で互いに必要な存在であることを認識するようになることを踏まえ，一人一人を生かした集団を形成しながら人とかかわる力を育てていくようにすること。特に，集団の生活の中で，幼児が自己を発揮し，教師や他の幼児に認められる体験をし，自信をもって行動できるようにすること。,71l2005200000000
ねらい及び内容,65,(3) 幼児が互いにかかわりを深め，協同して遊ぶようになるため，自ら行動する力を育てるようにするとともに，他の幼児と試行錯誤しながら活動を展開する楽しさや共通の目的が実現する喜びを味わうことができるようにすること。,71l2005300000000
ねらい及び内容,66,(4) 道徳性の芽生えを培うに当たっては，基本的な生活習慣の形成を図るとともに，幼児が他の幼児とのかかわりの中で他人の存在に気付き，相手を尊重する気持ちをもって行動できるようにし，また，自然や身近な動植物に親しむことなどを通して豊かな心情が育つようにすること。特に，人に対する信頼感や思いやりの気持ちは，葛藤やつまずきをも体験し，それらを乗り越えることにより次第に芽生えてくることに配慮すること。,71l2005400000000
ねらい及び内容,67,(5) 集団の生活を通して，幼児が人とのかかわりを深め，規範意識の芽生えが培われることを考慮し，幼児が教師との信頼関係に支えられて自己を発揮する中で，互いに思いを主張し，折り合いを付ける体験をし，きまりの必要性などに気付き，自分の気持ちを調整する力が育つようにすること。,71l2005500000000
