【73V32】中学校学習指導要領（平成20年告示：平成27年一部改正）コード表　Ver 3.2,,,
教科等,No,学習指導要領テキスト,学習指導要領コード
総則,1,第１章　総則,7300000000000000
総則,2,第１　教育課程編成の一般方針,7300000100000000
総則,3,"１　各学校においては，教育基本法及び学校教育法その他の法令並びにこの章以下に示すところに従い，生徒の人間として調和のとれた育成を目指し，地域や学校の実態及び生徒の心身の発達の段階や特性等を十分考慮して，適切な教育課程を編成するものとし，これらに掲げる目標を達成するよう教育を行うものとする。
　学校の教育活動を進めるに当たっては，各学校において，生徒に生きる力をはぐくむことを目指し，創意工夫を生かした特色ある教育活動を展開する中で，基礎的・基本的な知識及び技能を確実に習得させ，これらを活用して課題を解決するために必要な思考力，判断力，表現力その他の能力をはぐくむとともに，主体的に学習に取り組む態度を養い，個性を生かす教育の充実に努めなければならない。その際，生徒の発達の段階を考慮して，生徒の言語活動を充実するとともに，家庭との連携を図りながら，生徒の学習習慣が確立するよう配慮しなければならない。",7300000110000000
総則,4,"２　学校における道徳教育は，特別の教科である道徳（以下「道徳科」という。）を要として学校の教育活動全体を通じて行うものであり，道徳科はもとより，各教科，総合的な学習の時間及び特別活動のそれぞれの特質に応じて，生徒の発達の段階を考慮して，適切な指導を行わなければならない。
　道徳教育は，教育基本法及び学校教育法に定められた教育の根本精神に基づき，人間としての生き方を考え，主体的な判断の下に行動し，自立した人間として他者と共によりよく生きるための基盤となる道徳性を養うことを目標とする。
　道徳教育を進めるに当たっては，人間尊重の精神と生命に対する畏敬の念を家庭，学校，その他社会における具体的な生活の中に生かし，豊かな心をもち，伝統と文化を尊重し，それらを育んできた我が国と郷土を愛し，個性豊かな文化の創造を図るとともに，平和で民主的な国家及び社会の形成者として，公共の精神を尊び，社会及び国家の発展に努め，他国を尊重し，国際社会の平和と発展や環境の保全に貢献し未来を拓《ひら》く主体性のある日本人の育成に資することとなるよう特に留意しなければならない。",7300000120000001
総則,5,３　学校における体育・健康に関する指導は，生徒の発達の段階を考慮して，学校の教育活動全体を通じて適切に行うものとする。特に，学校における食育の推進並びに体力の向上に関する指導，安全に関する指導及び心身の健康の保持増進に関する指導については，保健体育科の時間はもとより，技術・家庭科，特別活動などにおいてもそれぞれの特質に応じて適切に行うよう努めることとする。また，それらの指導を通して，家庭や地域社会との連携を図りながら，日常生活において適切な体育・健康に関する活動の実践を促し，生涯を通じて健康・安全で活力ある生活を送るための基礎が培われるよう配慮しなければならない。,7300000130000000
総則,6,第２　内容等の取扱いに関する共通的事項,7300000200000000
総則,7,１　第２章以下に示す各教科，道徳科及び特別活動の内容に関する事項は，特に示す場合を除き，いずれの学校においても取り扱わなければならない。,7300000210000001
総則,8,２　学校において特に必要がある場合には，第２章以下に示していない内容を加えて指導することができる。また，第２章以下に示す内容の取扱いのうち内容の範囲や程度等を示す事項は，全ての生徒に対して指導するものとする内容の範囲や程度等を示したものであり，学校において特に必要がある場合には，この事項にかかわらず指導することができる。ただし，これらの場合には，第２章以下に示す各教科，道徳科及び特別活動並びに各学年，各分野又は各言語の目標や内容の趣旨を逸脱したり，生徒の負担過重となったりすることのないようにしなければならない。,7300000220000001
総則,9,３　第２章以下に示す各教科，道徳科及び特別活動並びに各学年，各分野又は各言語の内容に掲げる事項の順序は，特に示す場合を除き，指導の順序を示すものではないので，学校においては，その取扱いについて適切な工夫を加えるものとする。,7300000230000001
総則,10,４　学校において２以上の学年の生徒で編制する学級について特に必要がある場合には，各教科の目標の達成に支障のない範囲内で，各教科の目標及び内容について学年別の順序によらないことができる。,7300000240000000
総則,11,５　各学校においては，選択教科を開設し，生徒に履修させることができる。その場合にあっては，地域や学校，生徒の実態を考慮し，すべての生徒に指導すべき内容との関連を図りつつ，選択教科の授業時数及び内容を適切に定め選択教科の指導計画を作成するものとする。,7300000250000000
総則,12,６　選択教科の内容については，課題学習，補充的な学習や発展的な学習など，生徒の特性等に応じた多様な学習活動が行えるよう各学校において適切に定めるものとする。その際，生徒の負担過重となることのないようにしなければならない。,7300000260000000
総則,13,７　各学校においては，第２章に示す各教科を選択教科として設けることができるほか，地域や学校，生徒の実態を考慮して，特に必要がある場合には，その他特に必要な教科を選択教科として設けることができる。その他特に必要な教科の名称，目標，内容などについては，各学校が適切に定めるものとする。,7300000270000000
総則,14,８　道徳科を要として学校の教育活動全体を通じて行う道徳教育の内容は，第３章特別の教科道徳の第２に示す内容とする。,7300000280000001
総則,15,第３　授業時数等の取扱い,7300000300000000
総則,16,１　各教科，道徳科，総合的な学習の時間及び特別活動（以下「各教科等」 という。ただし，１及び３において，特別活動については学級活動（学校給食に係るものを除く。）に限る。）の授業は，年間35週以上にわたって行うよう計画し，週当たりの授業時数が生徒の負担過重にならないようにするものとする。ただし，各教科等（特別活動を除く。）や学習活動の特質に応じ効果的な場合には，夏季，冬季，学年末等の休業日の期間に授業日を設定する場合を含め，これらの授業を特定の期間に行うことができる。なお，給食，休憩などの時間については，学校において工夫を加え，適切に定めるものとする。,7300000310000001
総則,17,２　特別活動の授業のうち，生徒会活動及び学校行事については，それらの内容に応じ，年間，学期ごと，月ごとなどに適切な授業時数を充てるものとする。,7300000320000000
総則,18,３　各教科等のそれぞれの授業の１単位時間は，各学校において，各教科等の年間授業時数を確保しつつ，生徒の発達の段階及び各教科等や学習活動の特質を考慮して適切に定めるものとする。なお，10分間程度の短い時間を単位として特定の教科の指導を行う場合において，当該教科を担当する教師がその指導内容の決定や指導の成果の把握と活用等を責任をもって行う体制が整備されているときは，その時間を当該教科の年間授業時数に含めることができる。,7300000330000000
総則,19,４　各学校においては，地域や学校及び生徒の実態，各教科等や学習活動の特質等に応じて，創意工夫を生かし時間割を弾力的に編成することができる。,7300000340000000
総則,20,５　総合的な学習の時間における学習活動により，特別活動の学校行事に掲げる各行事の実施と同様の成果が期待できる場合においては，総合的な学習の時間における学習活動をもって相当する特別活動の学校行事に掲げる各行事の実施に替えることができる。,7300000350000000
総則,21,第４　指導計画の作成等に当たって配慮すべき事項,7300000400000000
総則,22,１　各学校においては，次の事項に配慮しながら，学校の創意工夫を生かし，全体として，調和のとれた具体的な指導計画を作成するものとする。,7300000410000000
総則,23,(1) 各教科等及び各学年相互間の関連を図り，系統的，発展的な指導ができるようにすること。,7300000411000000
総則,24,(2) 各教科の各学年，各分野又は各言語の指導内容については，そのまとめ方や重点の置き方に適切な工夫を加えるなど，効果的な指導ができるようにすること。,7300000412000000
総則,25,２　各教科等の指導に当たっては，次の事項に配慮するものとする。,7300000420000001
総則,26,(1) 各教科等の指導に当たっては，生徒の思考力，判断力，表現力等をはぐくむ観点から，基礎的・基本的な知識及び技能の活用を図る学習活動を重視するとともに，言語に対する関心や理解を深め，言語に関する能力の育成を図る上で必要な言語環境を整え，生徒の言語活動を充実すること。,7300000421000000
総則,27,(2) 各教科等の指導に当たっては，体験的な学習や基礎的・基本的な知識及び技能を活用した問題解決的な学習を重視するとともに，生徒の興味・関心を生かし，自主的，自発的な学習が促されるよう工夫すること。,7300000422000000
総則,28,(3) 教師と生徒の信頼関係及び生徒相互の好ましい人間関係を育てるとともに生徒理解を深め，生徒が自主的に判断，行動し積極的に自己を生かしていくことができるよう，生徒指導の充実を図ること。,7300000423000000
総則,29,(4) 生徒が自らの生き方を考え主体的に進路を選択することができるよう，学校の教育活動全体を通じ，計画的，組織的な進路指導を行うこと。,7300000424000000
総則,30,(5) 生徒が学校や学級での生活によりよく適応するとともに，現在及び将来の生き方を考え行動する態度や能力を育成することができるよう，学校の教育活動全体を通じ，ガイダンスの機能の充実を図ること。,7300000425000000
総則,31,(6) 各教科等の指導に当たっては，生徒が学習の見通しを立てたり学習したことを振り返ったりする活動を計画的に取り入れるようにすること。,7300000426000000
総則,32,(7) 各教科等の指導に当たっては，生徒が学習内容を確実に身に付けることができるよう，学校や生徒の実態に応じ，個別指導やグループ別指導，繰り返し指導，学習内容の習熟の程度に応じた指導，生徒の興味・関心等に応じた課題学習，補充的な学習や発展的な学習などの学習活動を取り入れた指導，教師間の協力的な指導など指導方法や指導体制を工夫改善し，個に応じた指導の充実を図ること。,7300000427000000
総則,33,(8) 障害のある生徒などについては，特別支援学校等の助言又は援助を活用しつつ，例えば指導についての計画又は家庭や医療，福祉等の業務を行う関係機関と連携した支援のための計画を個別に作成することなどにより，個々の生徒の障害の状態等に応じた指導内容や指導方法の工夫を計画的，組織的に行うこと。特に，特別支援学級又は通級による指導については，教師間の連携に努め，効果的な指導を行うこと。,7300000428000000
総則,34,(9) 海外から帰国した生徒などについては，学校生活への適応を図るとともに，外国における生活経験を生かすなどの適切な指導を行うこと。,7300000429000000
総則,35,(10) 各教科等の指導に当たっては，生徒が情報モラルを身に付け，コンピュータや情報通信ネットワークなどの情報手段を適切かつ主体的，積極的に活用できるようにするための学習活動を充実するとともに，これらの情報手段に加え視聴覚教材や教育機器などの教材・教具の適切な活用を図ること。,730000042A000000
総則,36,(11) 学校図書館を計画的に利用しその機能の活用を図り，生徒の主体的，意欲的な学習活動や読書活動を充実すること。,730000042B000000
総則,37,(12) 生徒のよい点や進歩の状況などを積極的に評価するとともに，指導の過程や成果を評価し，指導の改善を行い学習意欲の向上に生かすようにすること。,730000042C000000
総則,38,(13) 生徒の自主的，自発的な参加により行われる部活動については，スポーツや文化及び科学等に親しませ，学習意欲の向上や責任感，連帯感の涵《かん》養等に資するものであり，学校教育の一環として，教育課程との関連が図られるよう留意すること。その際，地域や学校の実態に応じ，地域の人々の協力，社会教育施設や社会教育関係団体等の各種団体との連携などの運営上の工夫を行うようにすること。,730000042D000000
総則,39,(14) 学校がその目的を達成するため，地域や学校の実態等に応じ，家庭や地域の人々の協力を得るなど家庭や地域社会との連携を深めること。また，中学校間や小学校，高等学校及び特別支援学校などとの間の連携や交流を図るとともに，障害のある幼児児童生徒との交流及び共同学習や高齢者などとの交流の機会を設けること。,730000042E000000
総則,40,３　道徳教育を進めるに当たっては，次の事項に配慮するものとする。,7300000430000001
総則,41,(1) 各学校においては，第１の２に示す道徳教育の目標を踏まえ，道徳教育の全体計画を作成し，校長の方針の下に，道徳教育の推進を主に担当する教師（以下「道徳教育推進教師」 という。）を中心に，全教師が協力して道徳教育を展開すること。 なお， 道徳教育の全体計画の作成に当たっては，生徒，学校及び地域の実態を考慮して，学校の道徳教育の重点目標を設定するとともに，道徳科の指導方針，第３章特別の教科道徳の第２に示す内容との関連を踏まえた各教科，総合的な学習の時間及び特別活動における指導の内容及び時期並びに家庭や地域社会との連携の方法を示すこと。,7300000431000001
総則,42,(2) 各学校においては，生徒の発達の段階や特性等を踏まえ，指導内容の重点化を図ること。その際，小学校における道徳教育の指導内容を更に発展させ，自立心や自律性を高め，規律ある生活をすること，生命を尊重する心や自らの弱さを克服して気高く生きようとする心を育てること，法やきまりの意義に関する理解を深めること，自らの将来の生き方を考え主体的に社会の形成に参画する意欲と態度を養うこと，伝統と文化を尊重し，それらを育んできた我が国と郷土を愛するとともに，他国を尊重すること，国際社会に生きる日本人としての自覚を身に付けることに留意すること。,7300000432000001
総則,43,(3) 学校や学級内の人間関係や環境を整えるとともに，職場体験活動やボランティア活動，自然体験活動，地域の行事への参加などの豊かな体験を充実すること。また，道徳教育の指導内容が，生徒の日常生活に生かされるようにすること。その際，いじめの防止や安全の確保等にも資することとなるよう留意すること。,7300000433000001
総則,44,(4) 学校の道徳教育の全体計画や道徳教育に関する諸活動などの情報を積極的に公表したり，道徳教育の充実のために家庭や地域の人々の積極的な参加や協力を得たりするなど，家庭や地域社会との共通理解を深め，相互の連携を図ること。,7300000434000001
各教科（共通）,45,第２章　各教科,73n0000000000000
国語,46,第１節　国語,7310000000000000
国語,47,"第１　目標
　国語を適切に表現し正確に理解する能力を育成し，伝え合う力を高めるとともに，思考力や想像力を養い言語感覚を豊かにし，国語に対する認識を深め国語を尊重する態度を育てる。",7310100000000000
国語,48,第２　各学年の目標及び内容,7310200000000000
国語,49,〔第１学年〕,7310210000000000
国語,50,１　目標,7310212000000000
国語,51,(1) 目的や場面に応じ，日常生活にかかわることなどについて構成を工夫して話す能力，話し手の意図を考えながら聞く能力，話題や方向をとらえて話し合う能力を身に付けさせるとともに，話したり聞いたりして考えをまとめようとする態度を育てる。,7310212100000000
国語,52,(2) 目的や意図に応じ，日常生活にかかわることなどについて，構成を考えて的確に書く能力を身に付けさせるとともに，進んで文章を書いて考えをまとめようとする態度を育てる。,7310212200000000
国語,53,(3) 目的や意図に応じ，様々な本や文章などを読み，内容や要旨を的確にとらえる能力を身に付けさせるとともに，読書を通してものの見方や考え方を広げようとする態度を育てる。,7310212300000000
国語,54,２　内容,7310213000000000
国語,55,Ａ　話すこと・聞くこと,7310213100000000
国語,56,(1) 話すこと・聞くことの能力を育成するため，次の事項について指導する。,7310213110000000
国語,57,ア　日常生活の中から話題を決め，話したり話し合ったりするための材料を人との交流を通して集め整理すること。,7310213111000000
国語,58,イ　全体と部分，事実と意見との関係に注意して話を構成し，相手の反応を踏まえながら話すこと。,7310213112000000
国語,59,ウ　話す速度や音量，言葉の調子や間の取り方，相手に分かりやすい語句の選択，相手や場に応じた言葉遣いなどについての知識を生かして話すこと。,7310213113000000
国語,60,エ　必要に応じて質問しながら聞き取り，自分の考えとの共通点や相違点を整理すること。,7310213114000000
国語,61,オ　話合いの話題や方向をとらえて的確に話したり，相手の発言を注意して聞いたりして，自分の考えをまとめること。,7310213115000000
国語,62,(2) (1)に示す事項については，例えば，次のような言語活動を通して指導するものとする。,7310213120000000
国語,63,ア　日常生活の中の話題について報告や紹介をしたり，それらを聞いて質問や助言をしたりすること。,7310213121000000
国語,64,イ　日常生活の中の話題について対話や討論などを行うこと。,7310213122000000
国語,65,Ｂ　書くこと,7310213200000000
