【76V22】特別支援学校小学部・中学部学習指導要領（平成21年告示：平成27年一部改正）コード表　Ver 2.2,,,
教科等,No,学習指導要領テキスト,学習指導要領コード
総則,1,第１章　総則,7600000000000000
総則,2,"第１節　教育目標
小学部及び中学部における教育については，学校教育法第72条に定める目的を実現するために，児童及び生徒の障害の状態及び特性等を十分考慮して， 次に掲げる 目標の達成に努めなければならない。",7600000100000000
総則,3,１   小学部においては， 学校教育法第30条第１項に規定する小学校教育の目標,7600000110000000
総則,4,２   中学部においては， 学校教育法第46条に規定する中学校教育の目標,7600000120000000
総則,5,３   小学部及び中学部を通じ， 児童及び生徒の障害による学習上又は生活上の困難を改善・克服し自立を図るために必要な知識， 技能， 態度及び習慣を養うこと。,7600000130000000
総則,6,第２節　教育課程の編成,7600000200000000
総則,7,第１   一般方針,7600000210000000
総則,8,"１   各学校においては， 教育基本法及び学校教育法その他の法令並びにこの章以下に示すところに従い， 児童又は生徒の人間として調和のとれた育成を目指し， その障害の状態及び発達の段階や特性等並びに地域や学校の実態を十分考慮して， 適切な教育課程を編成するものとし，  これらに掲げる目標を達成するよう教育を行うものとする。
学校の教育活動を進めるに当たっては， 各学校において， 児童又は生徒に生きる力をはぐくむことを目指し， 創意工夫を生かした特色ある教育活動を展開する中で， 基礎的・基本的な知識及び技能を確実に習得させ， これらを活用して課題を解決するために必要な思考力， 判断力，表現力その他の能力をはぐくむとともに， 主体的に学習に取り組む態度を養い， 個性を生かす教育の充実に努めなければならない。 その際， 児童又は生徒の発達の段階を考慮して， 児童又は生徒の言語活動を充実するとともに， 家庭との連携を図りながら， 児童又は生徒の学習習慣が確立するよう配慮しなければならない。",7600000211000000
総則,9,"２　学校における道徳教育は，特別の教科である道徳（以下「道徳科」という。） を要として学校の教育活動全体を通じて行うものであり，道徳科はもとより，各教科，外国語活動，総合的な学習の時間，特別活動及び自立活動のそれぞれの特質に応じて，児童又は生徒の発達の段階を考慮して，適切な指導を行わなければならない。
小学部における道徳教育は，教育基本法及び学校教育法に定められた教育の根本精神に基づき，自己の生き方を考え，主体的な判断の下に行動し，自立した人間として他者と共によりよく生きるための基盤となる道徳性を養うことを目標とする。
中学部における道徳教育は，教育基本法及び学校教育法に定められた教育の根本精神に基づき，人間としての生き方を考え，主体的な判断の下に行動し，自立した人間として他者と共によりよく生きるための基盤となる道徳性を養うことを目標とする。
道徳教育を進めるに当たっては，人間尊重の精神と生命に対する畏敬の念を家庭，学校，その他社会における具体的な生活の中に生かし，豊かな心をもち，伝統と文化を尊重し，それらを育んできた我が国と郷土を愛し，個性豊かな文化の創造を図るとともに，平和で民主的な国家及び社会の形成者として，公共の精神を尊び，社会及び国家の発展に努め，他国を尊重し，国際社会の平和と発展や環境の保全に貢献し未来を拓く主体性のある日本人の育成に資することとなるよう特に留意しなければならない。",7600000212000001
総則,10,３   学校における体育・健康に関する指導は，児童又は生徒の発達の段階を考慮して，学校の教育活動全体を通じて適切に行うものとする。 特に， 学校における食育の推進並びに体力の向上に関する指導， 安全に関する指導及び心身の健康の保持増進に関する指導については， 小学部の体育科及び中学部の保健体育科の時間はもとより， 小学部の家庭科 （知的障害者である児童に対する教育を行う特別支援学校においては生活科）， 中学部の技術・家庭科 （知的障害者である生徒に対する教育を行う特別支援学校においては職業・家庭科）， 特別活動，  自立活動などにおいてもそれぞれの特質に応じて適切に行うよう努めることとする。 また， それらの指導を通して， 家庭や地域社会との連携を図りながら，  日常生活において適切な体育・健康に関する活動の実践を促し， 生涯を通じて健康・安全で活力ある生活を送るための基礎が培われるよう配慮しなければならない。,7600000213000000
