学校コード,学校種,都道府県番号,設置区分,本分校,学校名,学校所在地,郵便番号,属性情報設定年月日,属性情報廃止年月日,旧学校調査番号,移行後の学校コード
A109110000014,A1(幼稚園),09(栃木),1(国),1(本),宇都宮大学共同教育学部附属幼稚園,栃木県宇都宮市松原１－７－３８,3208538,2020-12-22 00:00:00,,096501,
A109210000012,A1(幼稚園),09(栃木),2(公),1(本),那須烏山市立つくし幼稚園,栃木県那須烏山市東原５０,3210517,2020-12-22 00:00:00,,096524,
A109310000010,A1(幼稚園),09(栃木),3(私),1(本),輪王寺附属日光幼稚園,栃木県日光市山内２３８３,3211431,2020-12-22 00:00:00,,096606,
A109310000029,A1(幼稚園),09(栃木),3(私),1(本),今市幼稚園,栃木県日光市今市７１０,3211261,2020-12-22 00:00:00,,096608,
A109310000038,A1(幼稚園),09(栃木),3(私),1(本),認定こども園愛隣幼稚園,栃木県宇都宮市桜２－３－２７,3200043,2020-12-22 00:00:00,,096609,
A109310000047,A1(幼稚園),09(栃木),3(私),1(本),松ケ峰幼稚園認定こども園,栃木県宇都宮市松が峰１－１－５,3200807,2020-12-22 00:00:00,,096611,
A109310000056,A1(幼稚園),09(栃木),3(私),1(本),きぬ川幼稚園,栃木県日光市鬼怒川温泉滝８５７,3212626,2020-12-22 00:00:00,,096620,
A109310000065,A1(幼稚園),09(栃木),3(私),1(本),マリア幼稚園,栃木県宇都宮市上籠谷町３７７６,3213233,2020-12-22 00:00:00,,096622,
A109310000074,A1(幼稚園),09(栃木),3(私),1(本),鹿沼幼稚園,栃木県鹿沼市東末広町１９３４,3220039,2020-12-22 00:00:00,,096623,
A109310000083,A1(幼稚園),09(栃木),3(私),1(本),作新学院幼稚園,栃木県宇都宮市一の沢１－１－４１,3208525,2020-12-22 00:00:00,,096624,
A109310000109,A1(幼稚園),09(栃木),3(私),1(本),認定こども園呑竜幼稚園,栃木県佐野市大祝町２３１２,3270016,2020-12-22 00:00:00,,096632,
A109310000118,A1(幼稚園),09(栃木),3(私),1(本),足利みどり幼稚園,栃木県足利市東砂原後町１０８４,3260064,2020-12-22 00:00:00,,096633,
A109310000127,A1(幼稚園),09(栃木),3(私),1(本),葛生幼稚園,栃木県佐野市葛生西２－７－１,3270507,2020-12-22 00:00:00,,096634,
A109310000136,A1(幼稚園),09(栃木),3(私),1(本),聖母幼稚園,栃木県鹿沼市戸張町２４８８－１,3220063,2020-12-22 00:00:00,,096635,
A109310000145,A1(幼稚園),09(栃木),3(私),1(本),石橋幼稚園,栃木県下野市石橋５３５番地,3290511,2020-12-22 00:00:00,,096641,
A109310000154,A1(幼稚園),09(栃木),3(私),1(本),那須幼稚園,栃木県那須郡那須町大字寺子乙２５９９－３,3293215,2020-12-22 00:00:00,,096642,
A109310000163,A1(幼稚園),09(栃木),3(私),1(本),足利くるみ幼稚園,栃木県足利市伊勢南町９－１,3260054,2020-12-22 00:00:00,,096652,
A109310000172,A1(幼稚園),09(栃木),3(私),1(本),石川幼稚園,栃木県宇都宮市越戸町１０７番地,3210951,2020-12-22 00:00:00,,096655,
A109310000181,A1(幼稚園),09(栃木),3(私),1(本),認定こども園愛育幼稚園,栃木県佐野市堀米町２７５,3270843,2020-12-22 00:00:00,,096658,
A109310000190,A1(幼稚園),09(栃木),3(私),1(本),たちばな幼稚園,栃木県下都賀郡壬生町上田１００２－３,3210231,2020-12-22 00:00:00,,096661,
A109310000207,A1(幼稚園),09(栃木),3(私),1(本),めぐみ幼稚園,栃木県宇都宮市桜５－５－１７,3200043,2020-12-22 00:00:00,,096663,
A109310000216,A1(幼稚園),09(栃木),3(私),1(本),認定こども園西那須野幼稚園,栃木県那須塩原市西大和６番１５号,3292754,2020-12-22 00:00:00,,096664,
A109310000234,A1(幼稚園),09(栃木),3(私),1(本),聖家幼稚園,栃木県大田原市中央１丁目５番１０号,3240056,2020-12-22 00:00:00,,096674,
A109310000243,A1(幼稚園),09(栃木),3(私),1(本),認定こども園ひかり幼稚園,栃木県大田原市山の手２－１１－１３,3240051,2020-12-22 00:00:00,,096676,
A109310000252,A1(幼稚園),09(栃木),3(私),1(本),恵光幼稚園,栃木県宇都宮市下栗町２２５４,3210923,2020-12-22 00:00:00,,096677,
A109310000261,A1(幼稚園),09(栃木),3(私),1(本),真岡杉の子幼稚園,栃木県真岡市並木町３－６－１６,3214361,2020-12-22 00:00:00,,096678,
A109310000270,A1(幼稚園),09(栃木),3(私),1(本),國學院大學栃木二杉幼稚園,栃木県栃木市片柳町５－１１－３７,3280053,2020-12-22 00:00:00,,096684,
A109310000289,A1(幼稚園),09(栃木),3(私),1(本),認定こども園ひらかわ幼稚園,栃木県栃木市大宮町２３７８－７,3280011,2020-12-22 00:00:00,,096685,
A109310000298,A1(幼稚園),09(栃木),3(私),1(本),足利短期大学附属幼稚園,栃木県足利市福居町６９８,3260338,2020-12-22 00:00:00,,096687,
A109310000305,A1(幼稚園),09(栃木),3(私),1(本),御幸幼稚園,栃木県宇都宮市御幸町１３４番地,3210984,2020-12-22 00:00:00,,096690,
A109310000314,A1(幼稚園),09(栃木),3(私),1(本),旗川幼稚園,栃木県佐野市並木町１１８５,3270002,2020-12-22 00:00:00,,096692,
A109310000323,A1(幼稚園),09(栃木),3(私),1(本),ゆたか幼稚園,栃木県宇都宮市上大塚町１４４,3291106,2020-12-22 00:00:00,,096699,
A109310000332,A1(幼稚園),09(栃木),3(私),1(本),認定こども園しらさぎ幼稚園,栃木県河内郡上三川町上三川５０９５,3290611,2020-12-22 00:00:00,,096702,
A109310000341,A1(幼稚園),09(栃木),3(私),1(本),吹上幼稚園,栃木県栃木市吹上町１３７６,3280125,2020-12-22 00:00:00,,096711,
A109310000350,A1(幼稚園),09(栃木),3(私),1(本),いずみ幼稚園,栃木県鹿沼市泉町２４６０,3220062,2020-12-22 00:00:00,,096713,
A109310000378,A1(幼稚園),09(栃木),3(私),1(本),認定こども園まこと幼稚園,栃木県宇都宮市砥上町３３０－７１,3200856,2020-12-22 00:00:00,,096720,
A109310000396,A1(幼稚園),09(栃木),3(私),1(本),平出幼稚園,栃木県宇都宮市平出町２６７－１,3210901,2020-12-22 00:00:00,,096729,
A109310000403,A1(幼稚園),09(栃木),3(私),1(本),聖光幼稚園,栃木県栃木市鍋山町６１０－１,3280205,2020-12-22 00:00:00,,096730,
A109310000412,A1(幼稚園),09(栃木),3(私),1(本),中鶴田幼稚園,栃木県宇都宮市鶴田町１３１３,3200851,2020-12-22 00:00:00,,096735,
A109310000421,A1(幼稚園),09(栃木),3(私),1(本),認定こども園おおひらふじ幼稚園,栃木県栃木市大平町富田４０１２－８,3294404,2020-12-22 00:00:00,,096736,
A109310000430,A1(幼稚園),09(栃木),3(私),1(本),山辺幼稚園,栃木県足利市堀込町１４１０番地１,3260831,2020-12-22 00:00:00,,096738,
A109310000458,A1(幼稚園),09(栃木),3(私),1(本),親和幼稚園,栃木県塩谷郡高根沢町大字平田１８９８－２,3291206,2020-12-22 00:00:00,,096744,
