学校種別,設置区分,区市町村,学校名,学校名（ふりがな）,郵便番号,所在地,電話番号,デフォルト宛名,用途タグ
幼稚園,公立,千代田区,千代田区立麹町幼稚園,ちよだくりつこうじまちようちえん,102-0083,東京都千代田区麹町2-8,03-3263-7330,千代田区立麹町幼稚園 御中,"宛名印刷,幼少連携,就学前連携"
幼稚園,公立,千代田区,千代田区立九段幼稚園,ちよだくりつくだんようちえん,102-0075,東京都千代田区三番町16,03-3263-0567,千代田区立九段幼稚園 御中,"宛名印刷,幼少連携,就学前連携"
幼稚園,公立,千代田区,千代田区立番町幼稚園,ちよだくりつばんちょうようちえん,102-0085,東京都千代田区六番町8,03-3263-3725,千代田区立番町幼稚園 御中,"宛名印刷,幼少連携,就学前連携"
幼稚園,公立,千代田区,千代田区立お茶の水幼稚園,ちよだくりつおちゃのみずようちえん,101-0064,東京都千代田区神田猿楽町1-1-1,03-3291-8211,千代田区立お茶の水幼稚園 御中,"宛名印刷,幼少連携,就学前連携"
幼稚園,公立,千代田区,千代田区立千代田幼稚園,ちよだくりつちよだようちえん,101-0048,東京都千代田区神田司町2-16,03-3256-1709,千代田区立千代田幼稚園 御中,"宛名印刷,幼少連携,就学前連携"
幼稚園,公立,千代田区,千代田区立昌平幼稚園,ちよだくりつしょうへいようちえん,101-0021,東京都千代田区外神田3-4-7,03-3251-0768,千代田区立昌平幼稚園 御中,"宛名印刷,幼少連携,就学前連携"
幼稚園,公立,千代田区,千代田区立いずみこども園,ちよだくりついずみこどもえん,101-0024,東京都千代田区神田和泉町1,03-3866-9938,千代田区立いずみこども園 御中,"宛名印刷,幼少連携,就学前連携"
幼稚園,公立,千代田区,千代田区立ふじみこども園,ちよだくりつふじみこどもえん,102-0071,東京都千代田区富士見1-10-3,03-3263-1009,千代田区立ふじみこども園 御中,"宛名印刷,幼少連携,就学前連携"
幼稚園,公立,中央区,中央区立泰明幼稚園,ちゅうおうくりつたいめいようちえん,104-0061,東京都中央区銀座5-1-13,03-3571-5395,中央区立泰明幼稚園 御中,"宛名印刷,幼少連携,就学前連携"
幼稚園,公立,中央区,中央区立中央幼稚園,ちゅうおうくりつちゅうおうようちえん,104-0043,東京都中央区湊1-4-1,03-3551-4498,中央区立中央幼稚園 御中,"宛名印刷,幼少連携,就学前連携"
幼稚園,公立,中央区,中央区立明石幼稚園,ちゅうおうくりつあかしようちえん,104-0044,東京都中央区明石町1-15,03-3541-9522,中央区立明石幼稚園 御中,"宛名印刷,幼少連携,就学前連携"
幼稚園,公立,中央区,中央区立京橋朝海幼稚園,ちゅうおうくりつきょうばしちょうかいようちえん,104-0045,東京都中央区築地2-13-1,03-3541-6280,中央区立京橋朝海幼稚園 御中,"宛名印刷,幼少連携,就学前連携"
幼稚園,公立,中央区,中央区立明正幼稚園,ちゅうおうくりつめいしょうようちえん,104-0033,東京都中央区新川2-13-4,03-3551-4864,中央区立明正幼稚園 御中,"宛名印刷,幼少連携,就学前連携"
